playerID,age
troutmi01,31.0
rendoan01,32.0
uptonju01,35.0
wadety01,28.0
ohtansh01,28.0
walshja01,29.0
thaisma01,27.0
mayfija01,32.0
fletcda02,28.0
velazan01,28.0
stassma01,31.0
adelljo01,23.0
alonspe01,28.0
canoro01,40.0
mcneije01,30.0
escobed01,33.0
davisjd01,29.0
mccanja02,32.0
nidoto01,28.0
martest01,34.0
canhama01,33.0
smithdo02,27.0
nimmobr01,29.0
lindofr01,29.0
guilllu01,28.0
voitlu01,31.0
torregl01,26.0
lemahdj01,34.0
andujmi01,27.0
sanchga01,39.0
higasky01,32.0
hicksaa01,33.0
stantmi03,33.0
gallojo01,29.0
flories01,25.0
judgeaa01,30.0
urshegi01,31.0
machama01,30.0
myerswi01,32.0
hosmeer01,33.0
profaju01,29.0
kimha01,27.0
tatisfe02,23.0
alfarjo01,29.0
caratvi01,29.0
grishtr01,26.0
nolaau01,33.0
croneja01,28.0
abreujo02,35.0
grandya01,34.0
moncayo01,27.0
anderti01,29.0
jimenel02,26.0
roberlu01,25.0
garcile02,31.0
engelad01,31.0
mendida01,29.0
sheetga01,26.0
vaughan01,24.0
zavalse01,29.0
bogaexa01,30.0
duranja01,26.0
verdual01,26.0
martijd02,35.0
bradlja02,32.0
hernaen02,31.0
vazquch01,32.0
plaweke01,31.0
deverra01,26.0
arroych01,27.0
dalbebo01,27.0
hoskirh01,29.0
segurje01,32.0
camarjo01,29.0
bohmal01,26.0
realmjt01,31.0
stubbga01,29.0
moniami01,24.0
haselad01,26.0
vierlma01,26.0
harpebr03,30.0
gregodi01,32.0
matonni01,25.0
willilu01,26.0
turnetr01,29.0
mckinza01,27.0
bettsmo01,30.0
polloaj01,35.0
bellico01,27.0
raleylu01,28.0
barneau01,33.0
smithwi05,27.0
turneju01,38.0
beatyma01,29.0
riosed01,28.0
tayloch03,32.0
luxga01,25.0
muncyma01,32.0
altuvjo01,32.0
diazal02,32.0
meyerja02,26.0
brantmi02,35.0
alvaryo01,25.0
mccorch01,27.0
sirijo01,27.0
maldoma01,36.0
castrja01,35.0
bregmal01,28.0
gourryu01,38.0
jonesta01,29.0
dejonpa01,29.0
sosaed01,26.0
nootbla01,25.0
oneilty01,27.0
baderha01,28.0
molinya01,40.0
